Time,0.0,0.40000000596,0.800000011921,1.20000004768,1.60000002384,2.0,2.40000009537,2.79999995232,3.20000004768,3.59999990463,4.0,4.40000009537,4.80000019073,5.19999980927,5.59999990463,6.0,6.40000009537,6.80000019073,7.19999980927,7.59999990463,8.0,8.39999961853,8.80000019073,9.19999980927,9.60000038147,10.0,10.3999996185,10.8000001907,11.1999998093,11.6000003815,12.0,12.3999996185,12.8000001907,13.1999998093,13.6000003815,14.0,14.3999996185,14.8000001907,15.1999998093,15.6000003815,16.0
x,MISES 0,MISES 1,MISES 2,MISES 3,MISES 4,MISES 5,MISES 6,MISES 7,MISES 8,MISES 9,MISES 10,MISES 11,MISES 12,MISES 13,MISES 14,MISES 15,MISES 16,MISES 17,MISES 18,MISES 19,MISES 20,MISES 21,MISES 22,MISES 23,MISES 24,MISES 25,MISES 26,MISES 27,MISES 28,MISES 29,MISES 30,MISES 31,MISES 32,MISES 33,MISES 34,MISES 35,MISES 36,MISES 37,MISES 38,MISES 39,MISES 40
x,MISES 0,MISES 1,MISES 2,MISES 3,MISES 4,MISES 5,MISES 6,MISES 7,MISES 8,MISES 9,MISES 10,MISES 11,MISES 12,MISES 13,MISES 14,MISES 15,MISES 16,MISES 17,MISES 18,MISES 19,MISES 20,MISES 21,MISES 22,MISES 23,MISES 24,MISES 25,MISES 26,MISES 27,MISES 28,MISES 29,MISES 30,MISES 31,MISES 32,MISES 33,MISES 34,MISES 35,MISES 36,MISES 37,MISES 38,MISES 39,MISES 40
0.0,76.63825988769531,75.99467468261719,75.04829406738281,74.30903625488281,73.48278045654297,72.79702758789062,71.42973327636719,69.40399932861328,68.51715850830078,65.29551696777344,63.95707702636719,62.82762908935547,61.08477020263672,68.73538970947266,75.36617279052734,79.31546783447266,81.95974731445312,81.075439453125,81.8243408203125,80.13200378417969,100.22935485839844,117.8607406616211,121.12664031982422,126.2386474609375,128.9928436279297,135.36447143554688,145.41156005859375,155.0009765625,157.5869140625,148.97763061523438,117.27120971679688,94.12040710449219,89.88264465332031,81.86587524414062,78.18646240234375,72.82801818847656,63.766578674316406,57.428245544433594,51.773101806640625,47.056983947753906,42.596187591552734
0.618436872959137,83.95323181152344,83.25016784667969,82.22322845458984,81.41964721679688,80.52674865722656,79.78573608398438,78.15997314453125,75.63323974609375,74.63780975341797,70.5420913696289,68.9168701171875,67.58493041992188,65.42982482910156,76.78004455566406,87.38417053222656,94.1025390625,98.53013610839844,97.49335479736328,97.85069274902344,94.83424377441406,114.06173706054688,131.91659545898438,134.69297790527344,139.5098876953125,141.02528381347656,147.15396118164062,160.16819763183594,173.0780029296875,180.93711853027344,178.35369873046875,145.96170043945312,124.3292236328125,122.31715393066406,115.07886505126953,110.76875305175781,103.95948791503906,92.66484069824219,84.63888549804688,76.43998718261719,70.10440063476562,63.182159423828125
1.1068828105926514,84.49372100830078,83.79087829589844,82.78578186035156,81.99378967285156,81.12598419189453,80.40187072753906,78.58155822753906,75.58021545410156,74.54859924316406,69.58891296386719,67.71896362304688,66.24140930175781,63.714111328125,79.87466430664062,96.39351654052734,107.51005554199219,114.74889373779297,113.61988830566406,112.90243530273438,107.598388671875,124.41914367675781,141.3524169921875,142.40089416503906,145.91546630859375,145.32290649414062,150.52157592773438,166.41522216796875,183.84068298339844,198.81036376953125,203.60377502441406,169.52767944335938,150.32870483398438,152.9112091064453,147.82008361816406,143.63064575195312,137.60728454589844,126.47527313232422,119.77326202392578,112.43240356445312,104.52168273925781,97.33631134033203
1.5953357219696045,77.05191040039062,76.41915893554688,75.54553985595703,74.84864807128906,74.10151672363281,73.47187805175781,71.58191680908203,68.26026916503906,67.28352355957031,61.682281494140625,59.665428161621094,58.13227081298828,55.35163879394531,76.9905014038086,100.702880859375,117.30840301513672,127.94398498535156,126.85733032226562,124.13761138916016,115.80009460449219,128.74542236328125,143.05091857910156,140.75894165039062,141.51046752929688,137.71954345703125,141.20733642578125,159.149169921875,180.8471221923828,202.8538818359375,214.94715881347656,179.4337158203125,163.34463500976562,171.512939453125,169.00399780273438,165.234619140625,160.1000213623047,150.08407592773438,144.79965209960938,139.63995361328125,132.1117401123047,126.08316040039062
2.083786964416504,57.88959503173828,57.42494201660156,56.8146858215332,56.318992614746094,55.80415344238281,55.363563537597656,53.68773651123047,50.53954315185547,49.76482391357422,44.34416961669922,42.458335876464844,41.0748291015625,38.43227767944336,64.8231201171875,95.27137756347656,117.22142028808594,131.02040100097656,130.31365966796875,124.67347717285156,113.37049865722656,119.51354217529297,127.7618408203125,120.89276123046875,117.08561706542969,108.66567993164062,108.65995025634766,126.20671081542969,147.57693481445312,173.15936279296875,191.41708374023438,158.0349884033203,148.27243041992188,161.90673828125,163.37387084960938,160.22775268554688,154.3827667236328,144.76197814941406,140.18185424804688,136.39466857910156,133.2861328125,132.47779846191406
2.5722298622131348,33.010459899902344,32.7578125,32.449588775634766,32.19217300415039,31.937973022460938,31.71468734741211,30.51129913330078,28.090614318847656,27.607860565185547,23.371517181396484,21.93535804748535,20.915176391601562,18.9175968170166,46.92254638671875,80.79647827148438,105.82771301269531,121.40702819824219,121.57469177246094,113.46485900878906,100.70501708984375,99.7169189453125,100.6199951171875,89.14627075195312,80.11066436767578,67.32014465332031,62.32292938232422,75.60363006591797,92.76762390136719,117.29396057128906,137.7568817138672,109.851806640625,107.29734802246094,122.9337158203125,128.7470703125,126.32936096191406,119.84735107421875,109.76734924316406,104.8222427368164,100.71206665039062,101.50759887695312,110.31759643554688
3.0135951042175293,14.31036376953125,14.210033416748047,14.107675552368164,14.015731811523438,13.936853408813477,13.861795425415039,13.118724822998047,11.521293640136719,11.279760360717773,8.549341201782227,7.712621212005615,7.183521270751953,6.33841609954834,33.90834045410156,69.32563781738281,96.13372802734375,112.89744567871094,114.31784057617188,104.85986328125,92.17306518554688,86.62484741210938,82.39827728271484,68.54487609863281,56.00727081298828,40.919036865234375,31.0938777923584,38.16913986206055,49.68190002441406,71.02371978759766,91.24053192138672,69.0915298461914,72.38691711425781,85.74189758300781,96.34794616699219,94.64688873291016,87.76119995117188,74.37226867675781,62.96653747558594,53.22589111328125,63.97487258911133,100.57522583007812
3.454967498779297,6.311463356018066,6.274048805236816,6.255938529968262,6.231916904449463,6.224034309387207,6.209841251373291,5.676621437072754,4.453117847442627,4.318472862243652,2.296079635620117,2.087080240249634,2.189572811126709,2.6735928058624268,28.42734718322754,63.440765380859375,90.23078918457031,106.93946838378906,108.69969940185547,98.58473205566406,85.80062866210938,78.081298828125,71.09861755371094,55.83484649658203,41.55675506591797,25.49411964416504,14.85444164276123,19.854755401611328,35.51872253417969,58.385841369628906,77.15641784667969,60.330528259277344,65.00406646728516,103.70640563964844,105.49668884277344,106.35655212402344,124.72010040283203,97.03330993652344,73.34992980957031,50.19197082519531,49.901729583740234,117.59205627441406
3.8963327407836914,3.1820409297943115,3.164071798324585,3.1709940433502197,3.1674575805664062,3.180286169052124,3.184241771697998,2.760725975036621,1.7697827816009521,1.6886227130889893,0.9391388893127441,1.315466046333313,1.7952712774276733,2.815028190612793,28.62469482421875,66.0521011352539,95.11737823486328,113.34587097167969,115.7942886352539,104.49435424804688,91.29736328125,82.379638671875,72.9584732055664,56.89038848876953,40.975860595703125,22.58233642578125,12.17107105255127,17.9628849029541,28.12017822265625,49.37770080566406,72.22140502929688,56.577354431152344,65.82191467285156,103.14814758300781,112.51414489746094,117.37176513671875,122.13018798828125,101.32830810546875,93.42359924316406,139.3115234375,149.19593811035156,203.01104736328125
